TradeID,Ticker,Direction,Secteur,Region,EntryPrice,CurrentPrice,PnL_EUR,PnL_PCT,StopLoss,TakeProfit,RR,NbShares,PositionValue,DistToStop_PCT,DistToTarget_PCT,DaysHeld,DaysRemaining,Score,Conviction,EntryDate,ExportDate
93510548,WMT,LONG,retail,USA,128.18,132.1699981689453,43.89,3.11,121.77,137.79,1.5,11,1453.87,7.87,4.25,24,28,0.76,9,2026-04-21,2026-05-15 14:58
40241775,TTE,SHORT,energy,USA,88.08,91.61000061035156,1842.66,4.01,92.49,81.48,-6600000000.0,522,47820.42,-0.96,-11.06,8,28,0.5,7,2026-05-07,2026-05-15 14:58
45663931,COP,SHORT,energy,USA,117.77,121.74749755859375,1320.53,3.38,123.65,108.93,-8840000000.0,332,40420.17,-1.56,-10.53,9,28,0.5,7,2026-05-06,2026-05-15 14:58
50379706,MRK,SHORT,pharma,USA,112.09,111.66999816894531,-362.88,-0.37,117.69,103.68,-8410000000.0,864,96482.88,-5.39,-7.16,4,28,0.5,7,2026-05-11,2026-05-15 14:58
84449926,EOG,SHORT,energy,USA,130.15,139.0,3504.6,6.8,136.65,120.39,-9760000000.0,396,55044.0,1.69,-13.39,8,28,0.5,7,2026-05-07,2026-05-15 14:58
78444130,NVDA,SHORT,tech,USA,217.96,226.42999267578125,1067.22,3.89,228.86,201.61,-16350000000.0,126,28530.18,-1.07,-10.96,4,28,0.5,7,2026-05-11,2026-05-15 14:58
95835555,AEP,SHORT,utilities,USA,131.42,126.41999816894531,-1990.0,-3.8,137.99,121.56,-9860000000.0,398,50315.16,-9.15,-3.84,8,28,0.5,7,2026-05-07,2026-05-15 14:58
78229900,CSCO,SHORT,tech,USA,97.81,116.97000122070312,229.92,19.59,102.7,90.47,-7340000000.0,12,1403.64,12.2,-22.66,4,28,0.5,7,2026-05-11,2026-05-15 14:58
21081083,ROST,SHORT,retail,USA,226.57,213.4250030517578,-6441.05,-5.8,237.9,209.58,-16990000000.0,490,104578.25,-11.47,-1.8,4,28,0.5,7,2026-05-11,2026-05-15 14:58
20202838,AAPL,SHORT,tech,USA,287.48,300.92999267578125,1667.8,4.68,301.86,265.92,-21560000000.0,124,37315.32,-0.31,-11.63,1,28,0.5,7,2026-05-14,2026-05-15 14:58
